"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 13:57:13 GMT 2021","Thu Aug 19 13:58:18 GMT 2021","65447","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","TC-11, Többoldalas lista bejárása.",""
"passed","Thu Aug 19 13:58:33 GMT 2021","Thu Aug 19 13:58:40 GMT 2021","6475","","main.MainPageTest","","main.MainPageTest","validLoginTest","TC-03, Sikeres bejelentkezés, helyes adatokkal.",""
"passed","Thu Aug 19 13:58:30 GMT 2021","Thu Aug 19 13:58:33 GMT 2021","3045","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","TC-10, Új adat küldése.",""
"passed","Thu Aug 19 13:58:27 GMT 2021","Thu Aug 19 13:58:30 GMT 2021","3275","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","TC-12, Adat(ok) törlése.",""
"passed","Thu Aug 19 13:58:18 GMT 2021","Thu Aug 19 13:58:24 GMT 2021","5945","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","TC-15, Kijelentkezés a weboldalról, a fiókból.",""
"passed","Thu Aug 19 13:57:11 GMT 2021","Thu Aug 19 13:57:13 GMT 2021","1204","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"passed","Thu Aug 19 13:58:42 GMT 2021","Thu Aug 19 14:00:49 GMT 2021","126964","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","TC-09, Ellenőrizze, hogy a megjelölt, megfelelő adatot találja meg, listaként járja be weboldalt és a találatokat számolja meg.",""
"passed","Thu Aug 19 13:57:10 GMT 2021","Thu Aug 19 13:57:11 GMT 2021","931","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Thu Aug 19 13:58:25 GMT 2021","Thu Aug 19 13:58:27 GMT 2021","1629","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","TC-02, A nyelv kiválasztása a honlapon.",""
"passed","Thu Aug 19 14:00:49 GMT 2021","Thu Aug 19 14:00:54 GMT 2021","4974","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","TC-13, Adatvédelmi nyilatkozat használata.",""
"passed","Thu Aug 19 13:56:43 GMT 2021","Thu Aug 19 13:57:01 GMT 2021","17988","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","TC-05, Bevitt adat módosítása.",""
"passed","Thu Aug 19 13:58:40 GMT 2021","Thu Aug 19 13:58:42 GMT 2021","2218","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","TC-04, Sikertelen bejelentkezés, helytelen jelszóval.",""
"passed","Thu Aug 19 13:58:24 GMT 2021","Thu Aug 19 13:58:25 GMT 2021","1289","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","TC-14, Átnavigálás másik weboldalra.",""
"passed","Thu Aug 19 13:57:01 GMT 2021","Thu Aug 19 13:57:10 GMT 2021","9280","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","TC-08, Adadbevitel külső forrásból, folyamatosan.",""
